code,generic_name,specific_epithet,common_name,target,song_type
AA,Abroscopus,albogularis,棕面鶯,TRUE,1
AC,Arborophila,crudigularis,臺灣山鷓鴣,FALSE,"1,2"
ACO,Aegithalos,concinnus,紅頭山雀,FALSE,1
AM,Alcippe,morrisonia,繡眼畫眉,FALSE,1
AT,Accipiter,trivirgatus,鳳頭蒼鷹,FALSE,1
AV,Accipiter,virgatus,松雀鷹 ,FALSE,1
BG,Brachypteryx,goodfellowi,小翼鶇,FALSE,1
BS,Bambusicola,sonorivox,臺灣竹雞,FALSE,1
CF,Carpodacus,formosanus,酒紅朱雀,FALSE,1
CM,Corvus,macrorhynchos,巨嘴鴉 ,FALSE,1
CP,Columba,pulchricollis,灰林鴿 ,FALSE,1
CR,Cyanoderma,ruficeps,山紅頭,TRUE,1
DA,Dicrurus,aeneus,小卷尾,FALSE,1
DC,Dendrocopos,canicapillus,小啄木 ,FALSE,1
DI,Dicaeum,ignipectus,紅胸啄花 ,FALSE,1
DL,Dendrocopos,leucotos,大赤啄木 ,FALSE,1
DM,Dicaeum,minullum,綠啄花,FALSE,1
EZ,Erpornis,zantholeuca,綠畫眉 ,FALSE,1
FH,Ficedula,hyperythra,黃胸青鶲 ,TRUE,1
GB,Glaucidium,brodiei,鵂鶹 ,FALSE,1
HA,Heterophasia,auricularis,白耳畫眉,TRUE,1
HAC,Horornis,acanthizoides,深山鶯,FALSE,1
HAZ,Hypothymis,azurea,黑枕藍鶲,FALSE,1
HF,Horornis,fortipes,小鶯,FALSE,1
HS,Hierococcyx,sparverioides,鷹鵑,FALSE,1
IP,Ianthocincla,poecilorhynchus,竹鳥,FALSE,1
LA,Locustella,alishanensis,臺灣叢樹鶯,FALSE,1
LS,Liocichla,steerii,黃胸藪眉,FALSE,1
ME,Megapomatorhinus,erythrocnemis,大彎嘴,FALSE,1
MH,Machlolophus,holsti,黃山雀,FALSE,1
MI,Myophonus,insularis,臺灣紫嘯鶇,FALSE,1
ML,Myiomela,leucura,白尾鴝,FALSE,1
NC,Nucifraga,caryocatactes,星鴉 ,FALSE,1
NV,Niltava,vivida,黃腹琉璃,TRUE,1
OS,Otus,spilocephalus,黃嘴角鴞,FALSE,1
PA,Periparus,ater,煤山雀,FALSE,1
PAL,Pnoepyga,albiventer,鱗胸鷦眉,TRUE,1
PAU,Phoenicurus,auroreus,黃尾鴝,FALSE,1
PC,Picus,canus,綠啄木,FALSE,1
PM,Parus,monticolus,青背山雀,TRUE,"1,2,3"
PMU,Pomatorhinus,musicus,小彎嘴,FALSE,1
PN,Psilopogon,nuchalis,五色鳥,FALSE,1
PNI,Pyrrhula,nipalensis,褐鷽 ,FALSE,1
PS,Pericrocotus,solaris,灰喉山椒鳥,FALSE,1
RG,Regulus,goodfellowi,火冠戴菊鳥,FALSE,1
SB,Schoeniparus,brunneus,頭烏線,FALSE,1
SC,Sittiparus,castaneoventris,赤腹山雀,FALSE,1
SCH,Spilornis,cheela,大冠鷲,FALSE,1
SE,Sitta,europaea,茶腹鳾,TRUE,1
TJ,Tarsiger,johnstoniae,栗背林鴝,FALSE,1
TM,Trochalopteron,morrisonianum,臺灣噪眉,FALSE,1
TP,Turdus,poliocephalus,白頭鶇,FALSE,1
TS,Treron,sieboldii,綠鳩,FALSE,1
YB,Yuhina,brunneiceps,冠羽畫眉,TRUE,1
ZD,Zoothera,dauma,虎鶇,FALSE,1
